run,arm,seed,step,train_win_rate,train_score,difficulty,r_objective,r_alpha,r_beta,r_zeta,r_delta,coverage,visit_entropy
director-on-s31,director-on,31,11092992,0.87,,0.0,,,,,,,
director-on-s31,director-on,31,11123712,0.84,,0.0,,,,,,,
director-on-s31,director-on,31,11154432,0.76,,0.0,,,,,,,
director-on-s31,director-on,31,11185152,0.74,,0.0,,,,,,,
director-on-s31,director-on,31,11215872,0.87,,0.0,,,,,,,
director-on-s31,director-on,31,11246592,0.84,,0.0,,,,,,,
director-on-s31,director-on,31,11277312,0.82,,0.0,,,,,,,
director-on-s31,director-on,31,11308032,0.82,,0.0,,,,,,,
director-on-s31,director-on,31,11338752,0.86,,0.0,,,,,,,
director-on-s31,director-on,31,11369472,0.85,,0.0,,,,,,,
director-on-s31,director-on,31,11400192,0.8,,0.0,,,,,,,
director-on-s31,director-on,31,11430912,0.78,,0.0,,,,,,,
director-on-s31,director-on,31,11461632,0.8,,0.0,,,,,,,
director-on-s31,director-on,31,11492352,0.88,,0.0,,,,,,,
director-on-s31,director-on,31,11523072,0.84,,0.0,,,,,,,
director-on-s31,director-on,31,11553792,0.8,,0.0,,,,,,,
director-on-s31,director-on,31,11584512,0.81,,0.0,,,,,,,
director-on-s31,director-on,31,11615232,0.84,,0.0,,,,,,,
director-on-s31,director-on,31,11645952,0.79,,0.0,,,,,,,
director-on-s31,director-on,31,11676672,0.82,,0.0,,,,,,,
director-on-s31,director-on,31,11707392,0.92,,0.0,,,,,,,
director-on-s31,director-on,31,11738112,0.83,,0.0,,,,,,,
director-on-s31,director-on,31,11768832,0.81,,0.0,,,,,,,
director-on-s31,director-on,31,11799552,0.83,,0.0,,,,,,,
director-on-s31,director-on,31,11830272,0.82,,0.0,,,,,,,
director-on-s31,director-on,31,11860992,0.83,,0.0,,,,,,,
director-on-s31,director-on,31,11891712,0.84,,0.0,,,,,,,
director-on-s31,director-on,31,11922432,0.86,,0.0,,,,,,,
director-on-s31,director-on,31,11953152,0.83,,0.0,,,,,,,
director-on-s31,director-on,31,11983872,0.85,,0.0,,,,,,,
director-on-s31,director-on,31,12014592,0.82,,0.0,,,,,,,
director-on-s31,director-on,31,12045312,0.85,,0.0,,,,,,,
director-on-s31,director-on,31,12076032,0.83,,0.0,,,,,,,
director-on-s31,director-on,31,12106752,0.82,,0.0,,,,,,,
director-on-s31,director-on,31,12137472,0.8,,0.0,,,,,,,
director-on-s31,director-on,31,12168192,0.82,,0.0,,,,,,,
director-on-s31,director-on,31,12198912,0.78,,0.0,,,,,,,
director-on-s31,director-on,31,12229632,0.8,,0.0,,,,,,,
director-on-s31,director-on,31,12260352,0.85,,0.0,,,,,,,
director-on-s31,director-on,31,12291072,0.87,,0.0,,,,,,,
director-on-s31,director-on,31,12321792,0.79,,0.0,,,,,,,
director-on-s31,director-on,31,12352512,0.87,,0.0,,,,,,,
director-on-s31,director-on,31,12383232,0.88,,0.0,,,,,,,
director-on-s31,director-on,31,12413952,0.81,,0.0,,,,,,,
director-on-s31,director-on,31,12444672,0.95,,0.0,,,,,,,
director-on-s31,director-on,31,12475392,0.91,,0.0,,,,,,,
director-on-s31,director-on,31,12506112,0.91,,0.0,,,,,,,
