run,arm,seed,step,train_win_rate,train_score,difficulty,r_objective,r_alpha,r_beta,r_zeta,r_delta,coverage,visit_entropy
w10s-obj-cur-s41,w10s-obj-cur,41,4580352,0.53,1.007,-0.956,0.4556,0.0,0.0,0.0,0.0,1.0,0.946
w10s-obj-cur-s41,w10s-obj-cur,41,4611072,0.61,1.065,-0.956,0.0709,0.0,0.0,0.0,0.0,1.0,0.946
w10s-obj-cur-s41,w10s-obj-cur,41,4641792,0.5,0.999,-0.945,0.0685,0.0,0.0,0.0,0.0,1.0,0.945
w10s-obj-cur-s41,w10s-obj-cur,41,4672512,0.59,1.025,-0.945,0.2992,0.0,0.0,0.0,0.0,1.0,0.945
w10s-obj-cur-s41,w10s-obj-cur,41,4703232,0.56,1.051,-0.945,0.3961,0.0,0.0,0.0,0.0,1.0,0.945
w10s-obj-cur-s41,w10s-obj-cur,41,4733952,0.47,0.96,-0.945,0.0895,0.0,0.0,0.0,0.0,1.0,0.945
w10s-obj-cur-s41,w10s-obj-cur,41,4764672,0.39,0.908,-0.921,0.1552,0.0,0.0,0.0,0.0,1.0,0.945
w10s-obj-cur-s41,w10s-obj-cur,41,4795392,0.61,1.053,-0.906,0.2652,0.0,0.0,0.0,0.0,1.0,0.945
w10s-obj-cur-s41,w10s-obj-cur,41,4826112,0.56,1.059,-0.88,0.251,0.0,0.0,0.0,0.0,1.0,0.944
w10s-obj-cur-s41,w10s-obj-cur,41,4856832,0.56,1.078,-0.842,0.4582,0.0,0.0,0.0,0.0,1.0,0.944
w10s-obj-cur-s41,w10s-obj-cur,41,4887552,0.56,1.038,-0.842,0.4174,0.0,0.0,0.0,0.0,1.0,0.944
w10s-obj-cur-s41,w10s-obj-cur,41,4918272,0.64,1.105,-0.819,0.2382,0.0,0.0,0.0,0.0,1.0,0.944
w10s-obj-cur-s41,w10s-obj-cur,41,4948992,0.62,1.117,-0.791,0.0799,0.0,0.0,0.0,0.0,1.0,0.944
w10s-obj-cur-s41,w10s-obj-cur,41,4979712,0.5,0.978,-0.78,0.3514,0.0,0.0,0.0,0.0,1.0,0.944
w10s-obj-cur-s41,w10s-obj-cur,41,5010432,0.55,1.046,-0.744,0.4956,0.0,0.0,0.0,0.0,1.0,0.943
w10s-obj-cur-s41,w10s-obj-cur,41,5041152,0.58,1.031,-0.733,0.1362,0.0,0.0,0.0,0.0,1.0,0.943
w10s-obj-cur-s41,w10s-obj-cur,41,5071872,0.64,1.11,-0.733,0.2007,0.0,0.0,0.0,0.0,1.0,0.943
w10s-obj-cur-s41,w10s-obj-cur,41,5102592,0.52,1.011,-0.706,0.1661,0.0,0.0,0.0,0.0,1.0,0.943
w10s-obj-cur-s41,w10s-obj-cur,41,5133312,0.5,1.003,-0.695,0.2136,0.0,0.0,0.0,0.0,1.0,0.943
w10s-obj-cur-s41,w10s-obj-cur,41,5164032,0.42,0.921,-0.695,0.2175,0.0,0.0,0.0,0.0,1.0,0.943
w10s-obj-cur-s41,w10s-obj-cur,41,5194752,0.55,1.031,-0.695,0.2696,0.0,0.0,0.0,0.0,1.0,0.942
w10s-obj-cur-s41,w10s-obj-cur,41,5225472,0.64,1.1,-0.656,0.2484,0.0,0.0,0.0,0.0,1.0,0.942
w10s-obj-cur-s41,w10s-obj-cur,41,5256192,0.54,1.021,-0.629,0.3033,0.0,0.0,0.0,0.0,1.0,0.942
w10s-obj-cur-s41,w10s-obj-cur,41,5286912,0.52,1.0,-0.629,0.3246,0.0,0.0,0.0,0.0,1.0,0.942
w10s-obj-cur-s41,w10s-obj-cur,41,5317632,0.5,1.043,-0.629,0.446,0.0,0.0,0.0,0.0,1.0,0.942
w10s-obj-cur-s41,w10s-obj-cur,41,5348352,0.51,1.014,-0.629,0.3593,0.0,0.0,0.0,0.0,1.0,0.941
w10s-obj-cur-s41,w10s-obj-cur,41,5379072,0.52,1.015,-0.629,0.2594,0.0,0.0,0.0,0.0,1.0,0.941
w10s-obj-cur-s41,w10s-obj-cur,41,5409792,0.44,0.931,-0.629,0.375,0.0,0.0,0.0,0.0,1.0,0.941
w10s-obj-cur-s41,w10s-obj-cur,41,5440512,0.53,0.996,-0.618,0.2343,0.0,0.0,0.0,0.0,1.0,0.941
w10s-obj-cur-s41,w10s-obj-cur,41,5471232,0.54,1.016,-0.63,0.2604,0.0,0.0,0.0,0.0,1.0,0.941
w10s-obj-cur-s41,w10s-obj-cur,41,5501952,0.52,1.022,-0.63,0.0325,0.0,0.0,0.0,0.0,1.0,0.941
w10s-obj-cur-s41,w10s-obj-cur,41,5532672,0.58,1.061,-0.617,0.5015,0.0,0.0,0.0,0.0,1.0,0.94
w10s-obj-cur-s41,w10s-obj-cur,41,5563392,0.51,0.992,-0.617,0.1653,0.0,0.0,0.0,0.0,1.0,0.94
w10s-obj-cur-s41,w10s-obj-cur,41,5594112,0.59,1.043,-0.589,0.4897,0.0,0.0,0.0,0.0,1.0,0.94
w10s-obj-cur-s41,w10s-obj-cur,41,5624832,0.62,1.066,-0.577,0.301,0.0,0.0,0.0,0.0,1.0,0.94
w10s-obj-cur-s41,w10s-obj-cur,41,5655552,0.55,1.033,-0.551,0.5246,0.0,0.0,0.0,0.0,1.0,0.94
w10s-obj-cur-s41,w10s-obj-cur,41,5686272,0.51,1.021,-0.54,0.0807,0.0,0.0,0.0,0.0,1.0,0.94
w10s-obj-cur-s41,w10s-obj-cur,41,5716992,0.55,1.013,-0.513,0.192,0.0,0.0,0.0,0.0,1.0,0.94
w10s-obj-cur-s41,w10s-obj-cur,41,5747712,0.57,1.037,-0.513,0.4163,0.0,0.0,0.0,0.0,1.0,0.939
